timestamp,mCi,mPci,mEarfcn,is_known_cellid,cellid_seen_before,tower_switch,num_tower_switches_per_minute,pci_variance,earfcn_switch,earfcn_stability,anomaly_score,is_anomaly
2025-06-08 16:56:30,258402869,160,9510,False,0,1,2.0,19109.66666666664,0,1.0,1,False
2025-06-08 16:56:45,230851636,344,9510,False,1,1,3.0,14776.916666666637,0,1.0,1,False
2025-06-08 16:57:00,258402869,160,9510,False,1,1,4.0,11285.333333333305,0,1.0,1,False
2025-06-08 16:57:15,258402583,453,1750,False,1,1,4.0,20940.91666666664,1,1.0,1,False
2025-06-08 16:57:30,258402869,160,9510,False,1,1,4.0,20940.91666666664,1,2.0,1,False
2025-06-08 16:57:45,230496819,3,9510,False,0,1,4.0,35291.33333333331,0,2.0,1,False
2025-06-08 16:58:00,258402869,160,9510,False,1,1,4.0,35291.33333333331,0,2.0,1,False
2025-06-08 16:58:15,258402101,138,9510,False,0,1,4.0,5707.583333333306,0,1.0,1,False
2025-06-08 16:58:30,230496819,3,9510,False,1,1,4.0,7185.999999999972,0,0.0,1,False
2025-06-08 16:58:45,258402869,160,9510,False,1,1,4.0,5707.583333333306,0,0.0,1,False
2025-06-08 16:59:00,258402101,138,9510,False,1,1,4.0,5172.249999999972,0,0.0,1,False
2025-06-08 16:59:15,230503476,224,9510,False,1,1,4.0,8640.916666666639,0,0.0,1,False
2025-06-08 16:59:30,258402101,138,9510,False,1,1,4.0,1654.6666666666388,0,0.0,1,False
2025-06-08 16:59:45,230543669,429,9510,False,0,1,4.0,18848.249999999975,0,0.0,1,False
2025-06-08 17:00:00,231208726,233,1750,False,0,1,4.0,15135.333333333308,1,1.0,1,False
2025-06-08 17:00:15,258402613,453,9510,False,0,1,4.0,23360.249999999975,1,2.0,1,False
2025-06-08 17:00:30,258402357,381,9510,False,0,1,4.0,9731.999999999975,0,2.0,1,False
2025-06-08 17:00:45,258402867,144,9510,False,0,1,4.0,19588.249999999975,0,2.0,1,False
2025-06-08 17:01:00,258402869,160,9510,False,1,1,4.0,24314.999999999975,0,1.0,1,False
2025-06-08 17:01:15,258402357,381,9510,False,1,1,4.0,17522.999999999975,0,0.0,1,False
2025-06-08 17:01:30,258402869,160,9510,False,1,1,4.0,12863.583333333312,0,0.0,1,False
2025-06-08 17:01:45,230543669,429,9510,False,1,1,4.0,20392.333333333314,0,0.0,1,False
2025-06-08 17:02:00,230543669,429,9510,False,1,0,3.0,16514.24999999998,0,0.0,1,False
2025-06-08 17:02:15,230543669,429,9510,False,1,0,2.0,18090.24999999998,0,0.0,1,False
2025-06-08 17:02:30,231208725,231,1750,False,0,1,2.0,9800.999999999984,1,1.0,1,False
2025-06-08 17:02:45,231208725,231,1750,False,1,0,1.0,13067.999999999984,0,1.0,1,False
2025-06-08 17:03:00,231208725,231,1750,False,1,0,1.0,9800.999999999984,0,1.0,1,False
2025-06-08 17:03:15,231208725,231,1750,False,1,0,1.0,0.0,0,1.0,1,False
2025-06-08 17:03:30,230502707,54,9510,False,0,1,1.0,7832.249999999983,1,1.0,1,False
2025-06-08 17:03:45,230502707,54,9510,False,1,0,1.0,10442.999999999984,0,1.0,1,False
2025-06-08 17:04:00,230502707,54,9510,False,1,0,1.0,7832.249999999983,0,1.0,1,False
2025-06-08 17:04:15,230502707,54,9510,False,1,0,1.0,0.0,0,1.0,1,False
2025-06-08 17:04:30,258402581,437,1750,False,0,1,1.0,36672.24999999998,1,1.0,-1,True
2025-06-08 17:04:45,258403595,244,500,False,0,1,2.0,33568.91666666665,1,2.0,1,False
2025-06-08 17:05:00,230543719,429,3375,False,0,1,3.0,32912.66666666665,1,3.0,-1,True
2025-06-08 17:05:15,230768487,330,3375,False,0,1,4.0,8348.666666666648,0,3.0,1,False
2025-06-08 17:05:30,230768487,330,3375,False,1,0,3.0,5718.249999999979,0,2.0,1,False
2025-06-08 17:05:45,230768487,330,3375,False,1,0,2.0,2450.2499999999795,0,1.0,1,False
2025-06-08 17:06:00,230543719,429,3375,False,1,1,2.0,2450.2499999999795,0,0.0,1,False
2025-06-08 17:06:15,230543719,429,3375,False,1,0,1.0,3266.9999999999795,0,0.0,1,False
2025-06-08 17:06:30,230543719,429,3375,False,1,0,1.0,2450.2499999999795,0,0.0,1,False
2025-06-08 17:06:45,230543719,429,3375,False,1,0,1.0,0.0,0,0.0,1,False
2025-06-08 17:07:00,230543717,413,3375,False,0,1,1.0,63.99999999997939,0,0.0,1,False
2025-06-08 17:07:15,230711910,469,3375,False,0,1,2.0,570.6666666666458,0,0.0,1,False
2025-06-08 17:07:30,230994791,209,3375,False,0,1,3.0,13550.666666666644,0,0.0,1,False
2025-06-08 17:07:45,230535220,133,9510,False,0,1,4.0,25785.333333333314,1,1.0,1,False
2025-06-08 17:08:00,230543717,413,3375,False,1,1,4.0,25785.333333333314,1,2.0,1,False
2025-06-08 17:08:15,230994791,209,3375,False,1,1,4.0,14431.99999999998,0,2.0,1,False
2025-06-08 17:08:30,230994701,209,500,False,0,1,4.0,14431.99999999998,1,3.0,1,False
2025-06-08 17:08:45,230994741,209,9510,False,0,1,4.0,10403.99999999998,1,3.0,1,False
2025-06-08 17:09:00,230711910,469,3375,False,1,1,4.0,16899.99999999998,1,3.0,1,False
2025-06-08 17:09:15,230994791,209,3375,False,1,1,4.0,16899.99999999998,0,3.0,1,False
2025-06-08 17:09:30,230994699,193,500,False,0,1,4.0,17657.333333333314,1,3.0,1,False
2025-06-08 17:09:45,230994789,193,3375,False,0,1,4.0,18371.99999999998,1,3.0,1,False
2025-06-08 17:10:00,230994789,193,3375,False,1,0,3.0,63.999999999979764,0,2.0,1,False
2025-06-08 17:10:15,230994789,193,3375,False,1,0,2.0,0.0,0,2.0,1,False
2025-06-08 17:10:30,230994789,193,3375,False,1,0,1.0,0.0,0,1.0,1,False
2025-06-08 17:10:45,230711910,469,3375,False,1,1,1.0,19043.99999999998,0,0.0,1,False
2025-06-08 17:11:00,258322279,261,3375,False,0,1,2.0,17071.99999999998,0,0.0,1,False
2025-06-08 17:11:15,231207987,211,9510,False,0,1,3.0,16120.99999999998,1,1.0,1,False
2025-06-08 17:11:30,231076916,208,9510,False,0,1,4.0,15272.24999999998,0,1.0,1,False
